Semente,Gerações,Indivíduo_mais_apto,Adaptação,Índice_de_Convergência,alfa_0,e,Dmax,Acon,Ades
0,300,G300_4,2.0735209649626656,0.9961908587257612,10,0.4,0.004805987671166082,0.36011080332409967,0.30540166204986147
1,300,G299_39,2.579427583150065,0.997702770083102,10,0.4,0.005002906400430724,0.31578947368421045,0.17728531855955676
2,300,G297_29,2.085499711149625,0.9956795013850414,10,0.4,0.004943308094378862,0.3628808864265927,0.2915512465373961
3,300,G299_29,3.353460287970275,0.9980422437673124,10,0.4,0.0030027989271949503,0.1516620498614958,0.36703601108033235
4,300,G300_14,2.3656618610747056,0.9964898891966754,10,0.4,0.0049998083711905,0.28947368421052627,0.33310249307479217
5,300,G300_5,2.573057733428368,0.9964193905817168,10,0.4,0.004998737325888514,0.3227146814404432,0.1655124653739612
6,300,G300_9,2.3679895047556583,0.9965051246537392,10,0.4,0.0049950178484920406,0.3303324099722991,0.22991689750692518
7,300,G300_38,2.364886996396987,0.9965991689750692,10,0.4,0.004997350416467366,0.335180055401662,0.21745152354570635
8,300,G300_13,2.096399535423926,0.9940966759002768,10,0.4,0.004983819994330534,0.38504155124653733,0.22991689750692518
9,300,G298_38,2.459965928449745,0.9975760387811632,10,0.4,0.004919540775666044,0.327562326869806,0.19736842105263153
10,300,G300_48,2.3799563702488102,0.9968929362880884,10,0.4,0.005002593741123379,0.33379501385041543,0.21468144044321325
