Semente,Gerações,Indivíduo_mais_apto,Adaptação,Índice_de_Convergência,alfa_0,e
0,5,G0_31,1.54703209413535,0.2571750692520772,10,0.4
0,300,G55_11,2.043835881931629,0.9991867036011076,10,0.4
0,300,G110_28,2.2480411416851003,0.999496814404432,10,0.4
0,300,G44_47,1.8661361813438284,0.9992009695290855,10,0.4
0,300,G56_44,2.0073021070567214,0.9993120498614956,10,0.4
0,300,G160_44,2.2491526967047517,0.999470221606648,10,0.4
0,300,G298_43,2.89146976371646,0.9974166204986148,10,0.4
0,300,G38_42,1.8147488321949696,0.9995796398891964,10,0.4
0,300,G29_38,1.7085775384261137,0.9995385041551244,10,0.4
0,300,G29_17,1.8519038896752065,0.9994825484764541,10,0.4
0,300,G199_21,2.698078261527608,0.9996193905817172,10,0.4
0,300,G90_16,2.4445282371951187,0.9993756232686978,10,0.4
0,300,G55_11,2.043835881930054,0.9991867036011076,10,0.4
1,300,G300_4,3.132321041214752,0.9981842105263156,10,0.4
2,300,G300_16,2.9373474369406027,0.9946547091412736,10,0.4
3,300,G300_1,2.7984496124031013,0.9975731301939056,10,0.4
4,300,G266_12,3.0259849119865887,0.9996465373961216,10,0.4
5,300,G300_5,3.061916878710772,0.9956175900277004,10,0.4
6,300,G241_18,2.5684809676271803,0.9993400277008307,10,0.4
7,300,G300_30,2.976092333058533,0.9965862880886424,10,0.4
8,300,G21_19,1.9569032877490544,0.9992398891966756,10,0.4
9,300,G59_13,1.9768269882520997,0.9993084487534624,10,0.4
10,300,G130_13,2.68128651380586,0.9992843490304706,10,0.4
